-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.23%     264.332us         0.42%     479.146us      15.972us       0.000us         0.00%     736.387us      24.546us            30  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     736.387us         1.35%     736.387us      24.546us            30  
void implicit_convolve_sgemm<float, float, 128, 6, 7...         0.00%       0.000us         0.00%       0.000us       0.000us     704.193us         1.29%     704.193us      23.473us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     579.399us         1.06%     579.399us       2.414us           240  
                                              aten::sub         0.92%       1.062ms         1.59%       1.829ms       5.152us     521.130us         0.96%     521.130us       1.468us           355  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     496.130us         0.91%     496.130us      16.538us            30  
                                              aten::pow         1.37%       1.571ms         2.43%       2.796ms       5.275us     472.322us         0.87%     472.322us       0.891us           530  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     472.322us         0.87%     472.322us       0.891us           530  
                             difflow/upsample/apply_3nn         1.00%       1.149ms         2.54%       2.923ms      48.709us       0.000us         0.00%     394.755us       6.579us            60  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     378.657us         0.70%     378.657us       2.611us           145  
              difflow/recurrent/group_combined_geometry         0.92%       1.062ms         2.58%       2.969ms      49.476us       0.000us         0.00%     358.016us       5.967us            60  
                                              aten::max         0.33%     382.962us         0.47%     539.913us       8.999us     352.447us         0.65%     352.447us       5.874us            60  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     352.447us         0.65%     352.447us       5.874us            60  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     297.281us         0.55%     297.281us       0.862us           345  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.819us         0.54%     293.819us       1.031us           285  
void furthest_point_sampling_kernel<256u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     275.744us         0.51%     275.744us      27.574us            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     274.917us         0.50%     274.917us       1.527us           180  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     256.994us         0.47%     256.994us       3.671us            70  
                                              aten::div         0.38%     433.808us         0.68%     784.527us       4.903us     201.982us         0.37%     201.982us       1.262us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     201.982us         0.37%     201.982us       1.262us           160  
                                           aten::repeat         0.04%      46.560us         0.22%     247.360us      16.491us       0.000us         0.00%     197.887us      13.192us            15  
                                             aten::relu         0.11%     129.990us         0.84%     964.090us       5.356us       0.000us         0.00%     196.219us       1.090us           180  
                                        aten::clamp_min         0.38%     434.814us         0.73%     834.100us       4.634us     196.219us         0.36%     196.219us       1.090us           180  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     188.003us         0.35%     188.003us       1.709us           110  
                                             aten::rsub         0.08%      95.673us         0.44%     506.502us       6.753us       0.000us         0.00%     184.480us       2.460us            75  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.480us         0.34%     184.480us       2.460us            75  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 114.926ms
Self CUDA time total: 54.467ms
