-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us      24.160us         0.04%      24.160us       2.416us            10  
                                            aten::fill_         0.06%      71.860us         0.14%     158.451us       5.282us      21.184us         0.04%      21.184us       0.706us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.184us         0.04%      21.184us       0.706us            30  
                                 aten::cudnn_batch_norm         0.08%      91.956us         0.15%     168.763us      16.876us      14.560us         0.03%      14.560us       1.456us            10  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us      14.560us         0.03%      14.560us       1.456us            10  
                                Activity Buffer Request         1.33%       1.527ms         1.33%       1.527ms       1.527ms       0.832us         0.00%       0.832us       0.832us             1  
                                          ProfilerStep*         0.09%     104.656us        99.99%     114.919ms      22.984ms       0.000us         0.00%      54.597ms      10.919ms             5  
                                 difflow3d/full_forward         2.67%       3.069ms        99.90%     114.814ms      22.963ms       0.000us         0.00%      54.597ms      10.919ms             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 114.926ms
Self CUDA time total: 54.467ms
