-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          aten::max_pool2d_with_indices         0.31%     366.354us         0.52%     609.167us       5.802us     801.726us         1.68%     801.726us       7.635us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     801.726us         1.68%     801.726us       7.635us           105  
                                               aten::to         0.23%     268.176us         3.26%       3.811ms       3.037us       0.000us         0.00%     743.528us       0.592us          1255  
                                         aten::_to_copy         0.49%     568.632us         3.03%       3.543ms       6.327us       0.000us         0.00%     743.528us       1.328us           560  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     743.528us         1.55%     743.528us       1.328us           560  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.22%     260.705us         0.40%     471.306us      15.710us       0.000us         0.00%     738.113us      24.604us            30  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     738.113us         1.54%     738.113us      24.604us            30  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     601.246us         1.26%     601.246us      20.042us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     578.241us         1.21%     578.241us       2.409us           240  
                                           aten::linear         0.10%     115.672us         1.05%       1.226ms      20.433us       0.000us         0.00%     563.643us       9.394us            60  
                                            aten::addmm         0.51%     594.996us         0.80%     931.446us      15.524us     563.643us         1.18%     563.643us       9.394us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     546.718us         1.14%     546.718us      12.149us            45  
                                              aten::sub         0.92%       1.074ms         1.57%       1.842ms       5.187us     516.460us         1.08%     516.460us       1.455us           355  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     474.465us         0.99%     474.465us       3.061us           155  
                                              aten::pow         1.39%       1.624ms         2.42%       2.832ms       5.344us     464.933us         0.97%     464.933us       0.877us           530  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     464.933us         0.97%     464.933us       0.877us           530  
                             difflow/upsample/apply_3nn         1.00%       1.170ms         2.52%       2.949ms      49.146us       0.000us         0.00%     391.870us       6.531us            60  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     382.051us         0.80%     382.051us       2.635us           145  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     374.338us         0.78%     374.338us       2.880us           130  
              difflow/recurrent/group_combined_geometry         0.92%       1.072ms         2.56%       2.995ms      49.909us       0.000us         0.00%     359.557us       5.993us            60  
                                              aten::max         0.33%     390.207us         0.47%     546.799us       9.113us     356.703us         0.75%     356.703us       5.945us            60  
